"filename", "language", "HTML", "JSON", "C++", "Dart", "Swift", "Markdown", "YAML", "XML", "Properties", "Objective-C", "Shell Script", "Gradle", "Java", "Kotlin", "comment", "blank", "total"
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 5, 13, 73
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\google-services.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 4, 26
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\kotlin\com\example\pocket_puppy_rattery\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\ios\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Dev\dev_page.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Functions\nav.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Functions\utils.dart", "Dart", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 125
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Login_Register\auth_state.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Login_Register\authenticate.dart", "Dart", 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 253
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Login_Register\verifyemail.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 110
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Models\genes.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 70
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Models\rat.dart", "Dart", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 133
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Models\user.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\constants.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 71
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\custom_widgets.dart", "Dart", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 161
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\senior_rat_watcher.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\add_rat.dart", "Dart", 0, 0, 0, 509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 30, 572
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\breeding_scheme.dart", "Dart", 0, 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 383
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\breeding_sheme_info_page.dart", "Dart", 0, 0, 0, 628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 43, 691
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\home_page.dart", "Dart", 0, 0, 0, 1271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59, 1333
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\profile_page.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\rat_info.dart", "Dart", 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26, 307
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\settings_page.dart", "Dart", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 144
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\firebase_options.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 84
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\main.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 57
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 19
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\macos\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\README.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 40
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\android\app\src\main\java\io\flutter\plugins\GeneratedPluginRegistrant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 4, 24
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\android\local.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\ios\Flutter\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 1, 14
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\ios\Runner\GeneratedPluginRegistrant.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 20
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\ios\Runner\GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 6, 15
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\lib\firebase_authentication.dart", "Dart", 0, 0, 0, 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 337
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 11
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\macos\Flutter\ephemeral\flutter_export_environment.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 1, 13
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 32, 8, 55
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\packages\firebase_authentication\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 57, 16, 110
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\web\index.html", "HTML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\runner\flutter_window.cpp", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 38, 301, 558, 4546, 62, 32, 56, 463, 10, 5, 21, 90, 30, 4, 467, 729, 7412